01_kic,02_period_my,03_period_liter,04_flag_liter,05_age
7673192,9.2255945638,10.27,walkowicz,1.8
7673192,9.2255945638,8.959,mcquillan_13_b,-inf
7109675,28.0946087394,16.29,walkowicz,1.19
7109675,28.0946087394,27.859,mcquillan_13_b,-inf
3541946,15.2071026032,7.97,walkowicz,0.46
3541946,15.2071026032,16.3311,reinhold_13,-inf
3541946,15.2071026032,15.369,mcquillan_13_b,-inf
11547513,14.6460405378,15.72,mcquillan_13_b,-inf
7115785,13.572434098,30.55,walkowicz,4.43
3656121,13.6400821495,13.813,mcquillan_13_b,-inf
8753896,27.0836254373,13.88,walkowicz,0.89
8753896,27.0836254373,28.051,mcquillan_13_b,-inf
7871954,21.0099204415,41.897,mcquillan_13_b,-inf
8559644,14.3041080739,16.957,mcquillan_13_b,-inf
11807274,7.9684365065,7.553,mcquillan_13_b,-inf
5941160,18.493257433,18.937,mcquillan_13_b,-inf
8564587,16.3375639925,32.54,walkowicz,4.18
8564587,16.3375639925,33.307,mcquillan_13_b,-inf
10963065,12.9594229142,12.444,mcquillan_13_b,-inf
7434875,17.2244971676,29.94,walkowicz,3.13
7434875,17.2244971676,33.838,mcquillan_13_b,-inf
11497958,36.0071370888,39.36,walkowicz,3.05
11497958,36.0071370888,36.535,mcquillan_13,-inf
11497958,36.0071370888,35.6018,reinhold_13,-inf
11497958,36.0071370888,35.856,mcquillan_13_b,-inf
6685609,14.5343003984,7.69,walkowicz,0.53
6685609,14.5343003984,15.425,mcquillan_13_b,-inf
9455556,25.7781676542,34.01,walkowicz,5.55
9455556,25.7781676542,11.7887,reinhold_13,-inf
9455556,25.7781676542,24.371,mcquillan_13_b,-inf
10910878,15.4280046512,17.43,walkowicz,1.22
10910878,15.4280046512,15.94,mcquillan_13_b,-inf
2438264,17.9298389435,34.8,walkowicz,4.14
6347299,8.4205825266,16.934,mcquillan_13_b,-inf
9008737,23.0510836438,20.81,walkowicz,2.12
9008737,23.0510836438,19.5614,reinhold_13,-inf
9008737,23.0510836438,22.963,mcquillan_13_b,-inf
8240797,12.0005084331,21.125,mcquillan_13_b,-inf
6960913,17.6408819903,19.98,walkowicz,1.05
6960913,17.6408819903,17.1162,reinhold_13,-inf
6960913,17.6408819903,35.078,mcquillan_13_b,-inf
11389771,21.6970663528,20.81,walkowicz,2.57
