01_kic,02_period_my,03_period_liter,04_flag_liter,05_age
1161345,7.9916423855,8.6,walkowicz,1.84
1161345,7.9916423855,7.9825,reinhold_13,-inf
1161345,7.9916423855,7.978,mcquillan_13_b,-inf
1718958,9.4220133014,9.542,nielsen,-inf
1718958,9.4220133014,9.2233,reinhold_13,-inf
1865864,21.3398732899,21.602,mcquillan_14,-inf
1865864,21.3398732899,22.8216,reinhold_13,-inf
2161536,27.3996649827,26.74,walkowicz,1.72
2161536,27.3996649827,27.8139,reinhold_13,-inf
2161536,27.3996649827,27.266,mcquillan_13_b,-inf
2438513,13.2680803925,13.63,walkowicz,1.36
2438513,13.2680803925,13.543,mcquillan_13_b,-inf
2556650,28.3579448297,28.79,walkowicz,1.92
2556650,28.3579448297,28.73,mcquillan_13,-inf
2556650,28.3579448297,28.464,mcquillan_13_b,-inf
2832589,21.4630721438,21.4,walkowicz,1.89
2832589,21.4630721438,20.4608,reinhold_13,-inf
2832589,21.4630721438,21.23,mcquillan_13_b,-inf
2850321,8.8688915828,8.882,nielsen,-inf
2850321,8.8688915828,8.975,mcquillan_14,-inf
2861126,16.1016106636,16.134,mcquillan_14,-inf
3109550,29.9686597295,27.8139,reinhold_13,-inf
3122913,23.4393282259,24.16,walkowicz,2.07
3122913,23.4393282259,24.3848,reinhold_13,-inf
3122913,23.4393282259,22.749,mcquillan_13_b,-inf
3128793,67.154393695,66.289,mcquillan_13_b,-inf
3219995,12.8476136015,12.71,walkowicz,1.24
3219995,12.8476136015,14.4723,reinhold_13,-inf
3219995,12.8476136015,12.757,mcquillan_13_b,-inf
3326377,19.1032580169,19.21,walkowicz,1.62
3326377,19.1032580169,18.1642,reinhold_13,-inf
3326377,19.1032580169,18.347,mcquillan_13_b,-inf
3342467,12.4884956374,12.301,nielsen,-inf
3342467,12.4884956374,12.3617,reinhold_13,-inf
3354846,19.1369232604,18.9371,reinhold_13,-inf
3354846,19.1369232604,19.226,mcquillan_13_b,-inf
3425851,7.8690452968,7.97,walkowicz,0.51
3425851,7.8690452968,7.873,mcquillan_13_b,-inf
3426367,33.3724601708,41.54,walkowicz,3.57
3426367,33.3724601708,33.951,mcquillan_13,-inf
3426367,33.3724601708,33.669,mcquillan_13_b,-inf
3440118,4.6839952385,4.69,nielsen,-inf
3440118,4.6839952385,4.7217,reinhold_13,-inf
3441795,26.4400157024,24.916,mcquillan_14,-inf
3444588,36.6705743558,35.62,walkowicz,3.09
3444588,36.6705743558,34.9037,reinhold_13,-inf
3444588,36.6705743558,36.409,mcquillan_13_b,-inf
3542928,18.1981155926,18.28,mcquillan_14,-inf
3542928,18.1981155926,16.0368,reinhold_13,-inf
3546821,6.8841864865,6.854,nielsen,-inf
3546821,6.8841864865,6.923,mcquillan_14,-inf
3546821,6.8841864865,6.7684,reinhold_13,-inf
3642335,14.3946894706,14.355,nielsen,-inf
3642335,14.3946894706,14.15,walkowicz,0.54
3642335,14.3946894706,13.4855,reinhold_13,-inf
3642335,14.3946894706,14.378,mcquillan_13_b,-inf
3642741,12.4176591764,12.29,walkowicz,0.8
3642741,12.4176591764,14.5909,reinhold_13,-inf
3642741,12.4176591764,12.647,mcquillan_13_b,-inf
3657758,10.5925720723,10.577,mcquillan_13_b,-inf
3728432,18.679466056,18.403,nielsen,-inf
3728432,18.679466056,18.9371,reinhold_13,-inf
3734418,11.360837449,11.54,walkowicz,0.63
3734418,11.360837449,11.7887,reinhold_13,-inf
3734418,11.360837449,11.367,mcquillan_13_b,-inf
3745559,8.5117936023,8.54,nielsen,-inf
3745559,8.5117936023,7.7733,reinhold_13,-inf
3849187,13.8559070612,14.2407,reinhold_13,-inf
3970397,15.5112049696,15.056,nielsen,-inf
3970397,15.5112049696,15.303,mcquillan_14,-inf
3970397,15.5112049696,14.9587,reinhold_13,-inf
4035640,18.5214335543,18.28,walkowicz,1.46
4035640,18.5214335543,17.9807,reinhold_13,-inf
4035640,18.5214335543,18.436,mcquillan_13_b,-inf
4044005,12.5323488633,14.15,walkowicz,1.14
4044005,12.5323488633,11.677,mcquillan_13_b,-inf
4047631,26.6654490354,25.82,walkowicz,1.86
4047631,26.6654490354,26.5685,reinhold_13,-inf
4047631,26.6654490354,26.815,mcquillan_13_b,-inf
4049131,23.4393293223,23.05,walkowicz,1.79
4049131,23.4393293223,22.5328,reinhold_13,-inf
4049131,23.4393293223,23.475,mcquillan_13_b,-inf
4055304,17.9298389015,17.84,walkowicz,1.3
4055304,17.9298389015,18.3514,reinhold_13,-inf
4055304,17.9298389015,17.985,mcquillan_13_b,-inf
4056616,14.9437220262,14.99,walkowicz,0.66
4056616,14.9437220262,14.2407,reinhold_13,-inf
4056616,14.9437220262,14.9,mcquillan_13_b,-inf
4068391,11.9174926854,11.928,mcquillan_14,-inf
4140813,19.2884001436,19.21,walkowicz,1.1
4140813,19.2884001436,18.9371,reinhold_13,-inf
4140813,19.2884001436,19.31,mcquillan_13_b,-inf
4142847,23.5401441054,24.16,walkowicz,2.1
4142847,23.5401441054,22.8216,reinhold_13,-inf
4142847,23.5401441054,23.389,mcquillan_13_b,-inf
4144238,3.7378067065,3.706,nielsen,-inf
4144238,3.7378067065,3.724,mcquillan_14,-inf
4144238,3.7378067065,3.7397,reinhold_13,-inf
4144576,26.7960022872,13.39,walkowicz,0.87
4144576,26.7960022872,27.386,reinhold_13,-inf
4144576,26.7960022872,26.893,mcquillan_13_b,-inf
4242147,16.435456449,7.97,walkowicz,0.25
4242147,16.435456449,16.7933,reinhold_13,-inf
4242147,16.435456449,16.44,mcquillan_13_b,-inf
4242806,21.5475732917,21.379,mcquillan_14,-inf
4242806,21.5475732917,23.118,reinhold_13,-inf
4243911,31.1413006968,15.3,walkowicz,0.99
4243911,31.1413006968,14.9587,reinhold_13,-inf
4243911,31.1413006968,31.253,mcquillan_13_b,-inf
4346178,33.1200219272,31.85,walkowicz,3.9
4346178,33.1200219272,34.2325,reinhold_13,-inf
4346178,33.1200219272,32.928,mcquillan_13_b,-inf
4370527,19.6696614073,16.9532,reinhold_13,-inf
4370527,19.6696614073,19.873,mcquillan_13_b,-inf
4449752,29.4485103049,28.691,mcquillan_14,-inf
4473613,10.1447326663,10.064,nielsen,-inf
4473613,10.1447326663,10.057,reinhold_13,-inf
4552729,21.8051134569,11.19,walkowicz,0.46
4552729,21.8051134569,23.4222,reinhold_13,-inf
4552729,21.8051134569,22.279,mcquillan_13_b,-inf
4736569,20.3498144163,20.53,walkowicz,1.52
4736569,20.3498144163,20.324,mcquillan_13_b,-inf
4740375,5.9425444802,5.966,nielsen,-inf
4740375,5.9425444802,5.963,mcquillan_14,-inf
4740375,5.9425444802,5.9336,reinhold_13,-inf
4750669,20.3649613338,19.7788,reinhold_13,-inf
4770365,26.6481652618,28.79,walkowicz,2.0
4770365,26.6481652618,26.839,mcquillan_13_b,-inf
4827723,22.7144264187,17.43,walkowicz,1.6
