01_kic,02_period,03_amplitude,04_power,05_peak,06_noiseLev,07_snr
1161345,7.9916423855,0.0043033375,8501.3377685738,1,0.0002878097,29.9040472088
1718958,9.4220133014,0.001018876,4711.2357124755,1,0.0002084487,9.7757944659
1865864,21.3398732899,0.0044377615,5842.70048497,1,0.0011399458,7.7859168604
2161536,27.3996649827,0.0013200814,3594.6519091562,1,0.0011713855,2.2538805285
2438513,13.2680803925,0.0035081471,6197.859709674,1,0.0004026924,17.4234590293
2556650,28.3579448297,0.0015088024,5567.4534101212,1,0.001363303,2.213451227
2569488,47.7998531474,0.0028751326,5847.4254166205,1,0.0004448159,12.9272936981
2832589,21.4630721438,0.0026501665,7679.3366091042,1,0.001057689,5.011239418
2850321,8.8688915828,0.0004801031,7184.2307996499,1,0.000116872,8.2158795974
2861126,16.1016106636,0.0022302211,5261.1581282788,1,0.0013507703,3.3021471819
3109550,29.9686597295,0.0006922029,3321.8834354763,1,0.0001340127,10.3304109232
3122913,23.4393282259,0.0021437518,6107.2442479871,1,0.0014898408,2.8778265542
3128793,67.154393695,0.0814056802,16728.991143578,1,0.0019050167,85.4645299728
3219995,12.8476136015,0.0011026435,5364.2169575643,1,0.000470319,4.6889175483
3326377,19.1032580169,0.004015556,6974.3619765783,1,0.0004703666,17.0741533679
3342467,12.4884956374,0.0054351444,8763.6719677057,1,0.0006311042,17.2242366719
3354846,19.1369232604,0.0048909983,6754.5285162525,1,0.0012145053,8.0543055174
3425851,7.8690452968,7.94846352919991E-005,8365.630605308,1,6.05043123934759E-005,2.62740397
3426367,33.3724601708,0.0011693797,4870.6014734586,1,0.0004834139,4.838006182
3433668,9.024931971,0.0009149582,3384.2430491324,1,0.0002110503,8.6705231857
3440118,4.6839952385,0.0079073013,10948.0124516604,1,0.0005016679,31.5240476874
3441795,26.4400157024,0.0017887643,4219.1878332898,1,0.0008427009,4.2453122943
3444588,36.6705743558,0.0020596575,7394.7450804046,1,0.0012907785,3.191341439
3542928,18.1981155926,0.000725283,2071.6856064881,1,0.0002909481,4.985651338
3546821,6.8841864865,0.0019880164,5211.3032039764,1,0.0002135593,18.6179337134
3642335,14.3946894706,0.0022321882,12372.1035098812,1,0.0009798323,4.5562658019
3642741,12.4176591764,0.0011088391,2656.5075519965,1,0.0005525154,4.0137850819
3657758,10.5925720723,0.0069855519,7064.1539579286,1,0.0011031601,12.6646202126
3728432,18.679466056,0.0057803716,14718.4891907336,1,0.0010773248,10.7309724332
3734418,11.360837449,0.0054225452,17196.3302646264,1,0.0003733554,29.0476301026
3745559,8.5117936023,0.0015446951,3279.9184413332,1,0.0004368328,7.0722483039
3849187,13.8559070612,0.0047738657,5188.434828491,1,0.0009509362,10.0403487947
3941219,2.0451491871,0.0001340225,13666.4859883415,1,0.000078146,3.43005736
3953106,14.8717279966,0.0222229966,1524.3836843804,1,0.0026033604,17.0725470217
3970397,15.5112049696,0.0007300245,3824.9766942173,1,0.0001296829,11.2586077844
4035640,18.5214335543,0.0062659178,12490.4322764417,1,0.000634705,19.7443456061
4044005,12.5323488633,0.0002568907,1604.4296599333,1,0.000150008,3.4250256729
4047631,26.6654490354,0.0012176241,5880.5794529498,1,0.0003866947,6.2975991864
4049131,23.4393293223,0.0061884087,12728.5847124349,1,0.000764817,16.1827183406
4055304,17.9298389015,0.0078648593,10329.7786574579,1,0.0004593423,34.2440014678
4056616,14.9437220262,0.001917681,8945.4820704214,1,0.0002168349,17.6879334832
4068391,11.9174926854,0.0038573008,5918.9072918484,1,0.0007618489,10.1261567148
4140813,19.2884001436,0.0020691246,5783.1239557984,1,0.0009276563,4.460972308
4142847,23.5401441054,0.0022543232,6027.329869178,1,0.0008846405,5.0965857646
4144238,3.7378067065,0.0010321531,3449.7878261045,1,0.0003042189,6.7855960779
4144576,26.7960022872,0.0045964804,8300.7095408754,1,0.0003550208,25.8941463797
4150804,29.0222814184,0.0005410792,2163.6419768916,1,0.0001676758,6.4538735374
4242147,16.435456449,0.0019126686,7728.9579534797,1,0.0005762284,6.6385786343
4242806,21.5475732917,0.001324693,4426.5855386537,1,0.0003886454,6.81697561
4243911,31.1413006968,0.0017012724,3833.9064272542,1,0.0005470851,6.2194073155
4263529,15.7953342653,0.0092128032,13793.2096746025,1,0.0004334429,42.5098860601
4346178,33.1200219272,0.0108556463,13324.4489427226,1,0.0007126139,30.4671190809
4370527,19.6696614073,0.0015150465,3200.2541792274,1,0.000953359,3.1783335015
4449752,29.4485103049,0.0005323362,5382.7071754226,1,0.0001698226,6.2693190684
4473613,10.1447326663,0.0022843632,4525.6637311594,1,0.0005331669,8.5690366004
4552729,21.8051134569,0.0050569774,7518.8002841041,1,0.0005269671,19.1927618577
4647949,7.0181328709,0.0003536685,1786.2132586879,1,0.0002751542,2.5706927995
4736569,20.3498144163,0.0109967527,13811.9734355956,1,0.0008397586,26.1902707643
4740375,5.9425444802,0.0012821038,12246.3992158642,1,0.0004856395,5.2800640001
4750669,20.3649613338,0.001728267,3191.8197815058,1,0.0007243529,4.7718919316
4770365,26.6481652618,0.0049167865,7507.575495263,1,0.0017406762,5.6492832893
4827723,22.7144264187,0.002037303,5321.6951478326,1,0.0002019938,20.1719312292
4832837,28.9581134136,0.0017572814,4670.5364330851,1,0.0005008677,7.0169490403
4840672,13.5556244111,0.001449406,11065.8165664048,1,0.000757923,3.8246786099
4913852,34.260303836,0.0027472298,6347.2487036054,1,0.0009983268,5.5036684788
5080636,34.4552286678,0.0041426926,9742.1988718873,1,0.0004806141,17.239164148
5088400,11.9866970469,0.0072338486,7860.7082550193,1,0.000647896,22.3302762756
5088591,7.6015049788,0.0058490664,9917.478429299,1,0.0005044806,23.1884668471
5130563,6.0564010334,0.0030483528,13043.2971459002,1,0.0003486792,17.4851425108
5174858,27.9953126047,0.0020708548,5765.8207651307,1,0.0006929934,5.9765493883
5175986,10.5694291072,0.0056007291,11552.9142445749,1,0.0009802541,11.4270966838
5184911,12.6912080695,0.0067867064,18283.0941311709,1,0.0005667647,23.9489386448
5209845,20.4844152262,0.0034321996,6737.0744995387,1,0.0013467264,5.0970998201
5353137,19.3224487442,0.0023332352,8914.844976536,1,0.0006192825,7.5352860308
5360920,20.0479249392,0.0011425716,2858.8710737204,1,0.0008746311,2.6126938889
5364090,37.5756969743,0.0004301969,2156.3165563348,1,0.00019906,4.322283557
5384713,20.3460346396,0.0070649114,20823.8110646511,1,0.000364576,38.756867269
5436338,23.5044534476,0.0067869853,16061.050838654,1,0.0009527436,14.2472436877
5440651,4.990274537,0.0083768401,14603.7029847574,1,0.0015420084,10.8648437535
5443320,10.2974291017,0.0011671116,2688.7752138255,1,0.0006837942,3.4136340926
5443837,4.1376553122,0.0029242063,6362.1314399225,1,0.000546485,10.7018728156
5526527,9.1791758428,0.0120701412,10424.4420281808,1,0.0007593807,31.7894343252
5529385,16.9799340501,0.0003112658,2485.260643127,1,0.0001794863,3.4684081241
5534814,12.1489089996,0.0010878297,4112.4436416907,1,0.0007588148,2.8671812643
5612111,9.8436755965,0.002368614,4026.7820776646,1,0.0005125142,9.2431165054
5617854,28.919860296,0.0005853578,2979.0202232895,1,0.0003991465,2.9330478572
5644412,7.4916786394,0.016376538,13325.4941794065,1,0.0011204485,29.2321122279
5705819,18.6001139922,0.0011364835,3567.5115260393,1,0.0009510033,2.3900725372
5780930,14.33682694,0.0019846304,8360.3772886912,1,0.0003604986,11.0104746238
5781991,15.7272519387,0.0016778673,11843.0604225466,1,0.0004156691,8.0730904424
5786676,76.3215723969,0.0002967863,1233.5163851158,1,0.0002428977,2.4437135996
5865654,14.2342879315,0.0004353266,3678.7371442142,1,0.0003685046,2.362665928
5871985,27.6767819337,0.0018045956,5170.7675836965,1,0.0006254623,5.770438106
5895158,6.5585181806,0.0049506872,10124.4545226554,1,0.0005519878,17.937668861
5903749,19.669661713,0.0016207172,4298.9477894775,1,0.0006286557,5.1561362528
5905728,9.2057320738,0.0019039491,5947.054393489,1,0.0001406032,27.0825854998
5906426,24.9343205427,0.0007830073,3434.669292313,1,0.000523298,2.9925864997
5938970,15.1534691923,0.0007437491,4451.7927898677,1,0.0003822498,3.8914300725
5953297,12.5242189488,0.0023449926,6689.6128570687,1,0.0003248561,14.4371163651
5980208,16.1091491421,0.0012061109,4177.3781844774,1,0.0005963455,4.0450072948
5989391,3.1136270565,0.0008274494,22513.935975803,1,0.000134275,12.3246991876
6029239,15.6988859721,0.0002276202,1391.3439549574,1,0.0001346022,3.3821153735
6034945,17.3886694223,0.0024150312,5324.453876889,1,0.0004264316,11.326700447
6036286,53.3959383775,0.0049300856,12211.2250173462,1,0.0007703427,12.7997200918
6041734,10.5744868075,0.0027410918,4287.6411631047,1,0.0006531115,8.3939471946
6061773,16.3870239104,0.0079974156,13922.0497419903,1,0.0003100146,51.5938068668
6065010,8.0382413095,0.0004646011,2426.3900220878,1,0.0001779514,5.2216621015
6106282,17.624957616,0.0024583488,13423.0393587504,1,0.0006479745,7.5877945152
6143819,19.6665444587,0.0027623309,4461.503998241,1,0.0003242462,17.0384779718
6153407,18.457685467,0.0005799677,1850.024879283,1,0.0001294217,8.9624512186
6195792,13.3090097652,0.0019832588,5471.033782629,1,0.0009967313,3.9795254822
